player_name	normalized_name
Brian Robinson	brian robinson
Rashid Shaheed	rashid shaheed
Javon Baker	javon baker
Tyler Goodson	tyler goodson
Levante Bellamy	levante bellamy
Tyler Mabry	tyler mabry
Ben VanSumeren	benansumeren
Sam Bradford	sam bradford
Trenton Irwin	trenton irwin
Kalel Mullings	kalel mullings
Jase McClellan	jase mcclellan
Mike Evans	mike evans
Leonard Fournette	leonard fournette
Chris Lacy	chris lacy
Travis Homer	travis homer
Lynn Bowden	lynn bowden
Mike White	mike white
Kenny Pickett	kenny pickett
Greg Dortch	greg dortch
Trey Palmer	trey palmer
Mark Sanchez	mark sanchez
DeAndre Washington	deandre washington
Tyler Higbee	tyler higbee
O.J. Howard	oj howard
DeVante Parker	devante parker
Quadree Henderson	quadree henderson
Trent Sherfield	trent sherfield
Allen Lazard	allen lazard
Derek Carr	derek carr
Rome Odunze	rome odunze
Javonte Williams	javonte williams
James Conner	james conner
Brian Parker	brian parker
Colton Dowell	colton dowell
Emmanuel Sanders	emmanuel sanders
D.J. Montgomery	dj montgomery
Dalyn Dawkins	dalyn dawkins
Freddie Martino	freddie martino
Jeremy Hill	jeremy hill
Joe Flacco	joe flacco
Wes Hills	wes hills
Braylon Sanders	braylon sanders
Julian Hill	julian hill
Jacquizz Rodgers	jacquizz rodgers
Ja'Marcus Bradley	ja'marcus bradley
Mike Thomas	mike thomas
Wil Lutz	wil lutz
Brian Hill	brian hill
Parker Hesse	parker hesse
Jaleel Scott	jaleel scott
Jermaine Gresham	jermaine gresham
AJ Barner	aj barner
Kimani Vidal	kimaniidal
Brandon Allen	brandon allen
Dwayne Harris	dwayne harris
Kaelin Clay	kaelin clay
LeGarrette Blount	legarrette blount
Ryan Izzo	ryan izzo
Ito Smith	ito smith
Keelan Doss	keelan doss
John Hightower	john hightower
Josh Perkins	josh perkins
Cethan Carter	cethan carter
Isaac Guerendo	isaac guerendo
Trevor Siemian	trevor siemian
C.J. Anderson	cj anderson
Leonte Carroo	leonte carroo
Clyde Edwards-Helaire	clyde edwards-helaire
Hayden Hurst	hayden hurst
Jonathan Mingo	jonathan mingo
Keaton Mitchell	keaton mitchell
Khalil Shakir	khalil shakir
Anthony Schwartz	anthony schwartz
Tommy Tremble	tommy tremble
Antoine Wesley	antoine wesley
Chad Henne	chad henne
Aidan O'Connell	aidan o'connell
Mason Taylor	mason taylor
Patrick Mahomes	patrick mahomes
Isiah Pacheco	isiah pacheco
Dylan Drummond	dylan drummond
Vyncint Smith	vyncint smith
Gage Larvadain	gage larvadain
Carson Wentz	carson wentz
Darius Jackson	darius jackson
Jaheim Bell	jaheim bell
Jake Luton	jake luton
Riley Ridley	riley ridley
Taylor Bertolet	taylor bertolet
Jalen Nailor	jalen nailor
Colston Loveland	colston loveland
Vernon Davis	vernon davis
Adrian Martinez	adrian martinez
Henry Pearson	henry pearson
Chase McLaughlin	chase mclaughlin
Russell Shepard	russell shepard
Philip Rivers	philip rivers
Trishton Jackson	trishton jackson
Dyami Brown	dyami brown
Craig Reynolds	craig reynolds
Kirk Merritt	kirk merritt
Parris Campbell	parris campbell
Tua Tagovailoa	tua tagovailoa
Adrian Killins Jr.	adrian killins
Jalen Milroe	jalen milroe
Jake Tonges	jake tonges
Dave Williams	dave williams
Senorise Perry	senorise perry
Jameis Winston	jameis winston
Tajae Sharpe	tajae sharpe
Tee Higgins	tee higgins
Qadree Ollison	qadree ollison
Blaine Gabbert	blaine gabbert
Colt McCoy	colt mccoy
Peyton Hendershot	peyton hendershot
Jacob Saylors	jacob saylors
Damion Willis	damion willis
Nick O'Leary	nick o'leary
Derrick Henry	derrick henry
Jared Cook	jared cook
Chris Thompson	chris thompson
Andre Patton	andre patton
C.J. Beathard	cj beathard
Juwan Johnson	juwan johnson
Brandon Johnson	brandon johnson
Rashard Davis	rashard davis
Kadarius Toney	kadarius toney
Darnell Washington	darnell washington
Josh Johnson	josh johnson
Will Dissly	will dissly
Lamar Miller	lamar miller
Kevin Austin Jr.	kevin austin
Raheim Sanders	raheim sanders
Jamari Thrash	jamari thrash
Zay Flowers	zay flowers
Richie James	richie james
Younghoe Koo	younghoe koo
Tyler Davis	tyler davis
Bryce Oliver	bryce oliver
Elijah Mitchell	elijah mitchell
Juwann Winfree	juwann winfree
Rashaad Penny	rashaad penny
Logan Paulsen	logan paulsen
Moliki Matavao	moliki matavao
Rakim Jarrett	rakim jarrett
Shi Smith	shi smith
Zach Wilson	zach wilson
Blake Grupe	blake grupe
